
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +---------------+---------+
    | Parameter     |   Value |
    |---------------+---------|
    | w [m]         |     100 |
    | h [m]         |      10 |
    | d [m]         |       5 |
    | t [m]         |     0.5 |
    | thickness [m] |       1 |
    | kx [m/day]    |      20 |
    | ky [m/day]    |      20 |
    +---------------+---------+

    Model boundary conditions:

    +----------+--------------------+
    |   Marker |   Piezometric head |
    |----------+--------------------|
    |       10 |                 10 |
    |       20 |                  0 |
    +----------+--------------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+-----+
    | Max element size:   |   2 |
    | Dofs per node:      |   1 |
    | Element type:       |   2 |
    | Number of dofs:     | 396 |
    | Number of elements: | 672 |
    | Number of nodes:    | 396 |
    +---------------------+-----+

    Summary of results:

    +------------------------+---------+---------+
    | Max piezometric head:  |  10.000 | [m]     |
    | Min piezometric head:  |   0.000 | [m]     |
    | Max boundary flow:     |  20.776 | [m/day] |
    | Min boundary flow:     | -21.007 | [m/day] |
    | Sum boundary flow:     |   0.000 | [m/day] |
    | Max resulting gw flow: |  67.544 | [m/day] |
    | Min resulting gw flow: |   0.003 | [m/day] |
    +------------------------+---------+---------+

    Results per node:

    +-----+-------+-----------+------------+--------+-----------+
    |   N |   dof |   x_coord |    y_coord |   P.h. |      q BC |
    |     |       |       [m] |        [m] |    [m] |   [m/day] |
    |-----+-------+-----------+------------+--------+-----------|
    |   1 |     1 |       0.0 |        0.0 |  9.996 |     0.000 |
    |   2 |     2 |     100.0 |        0.0 |  0.004 |     0.000 |
    |   3 |     3 |     100.0 |       10.0 |  0.000 |    -0.013 |
    |   4 |     4 |      50.2 |       10.0 |  0.000 |   -11.393 |
    |   5 |     5 |      50.2 |        5.0 |  4.163 |     0.000 |
    |   6 |     6 |      49.8 |        5.0 |  5.825 |    -0.000 |
    |   7 |     7 |      49.8 |       10.0 | 10.000 |    11.553 |
    |   8 |     8 |       0.0 |       10.0 | 10.000 |     0.013 |
    |   9 |     9 |       2.0 |        0.0 |  9.996 |     0.000 |
    |  10 |    10 |       4.0 |        0.0 |  9.995 |     0.000 |
    |  11 |    11 |       6.0 |        0.0 |  9.994 |    -0.000 |
    |  12 |    12 |       8.0 |        0.0 |  9.992 |     0.000 |
    |  13 |    13 |      10.0 |        0.0 |  9.989 |    -0.000 |
    |  14 |    14 |      12.0 |        0.0 |  9.986 |    -0.000 |
    |  15 |    15 |      14.0 |        0.0 |  9.981 |     0.000 |
    |  16 |    16 |      16.0 |        0.0 |  9.974 |    -0.000 |
    |  17 |    17 |      18.0 |        0.0 |  9.964 |     0.000 |
    |  18 |    18 |      20.0 |        0.0 |  9.951 |    -0.000 |
    |  19 |    19 |      22.0 |        0.0 |  9.933 |    -0.000 |
    |  20 |    20 |      24.0 |        0.0 |  9.909 |     0.000 |
    |  21 |    21 |      26.0 |        0.0 |  9.875 |    -0.000 |
    |  22 |    22 |      28.0 |        0.0 |  9.829 |    -0.000 |
    |  23 |    23 |      30.0 |        0.0 |  9.766 |    -0.000 |
    |  24 |    24 |      32.0 |        0.0 |  9.680 |    -0.000 |
    |  25 |    25 |      34.0 |        0.0 |  9.562 |    -0.000 |
    |  26 |    26 |      36.0 |        0.0 |  9.401 |     0.000 |
    |  27 |    27 |      38.0 |        0.0 |  9.180 |     0.000 |
    |  28 |    28 |      40.0 |        0.0 |  8.876 |     0.000 |
    |  29 |    29 |      42.0 |        0.0 |  8.463 |     0.000 |
    |  30 |    30 |      44.0 |        0.0 |  7.898 |     0.000 |
    |  31 |    31 |      46.0 |        0.0 |  7.139 |     0.000 |
    |  32 |    32 |      48.0 |        0.0 |  6.163 |    -0.000 |
    |  33 |    33 |      50.0 |        0.0 |  5.003 |     0.000 |
    |  34 |    34 |      52.0 |        0.0 |  3.836 |     0.000 |
    |  35 |    35 |      54.0 |        0.0 |  2.855 |    -0.000 |
    |  36 |    36 |      56.0 |        0.0 |  2.099 |     0.000 |
    |  37 |    37 |      58.0 |        0.0 |  1.538 |     0.000 |
    |  38 |    38 |      60.0 |        0.0 |  1.124 |     0.000 |
    |  39 |    39 |      62.0 |        0.0 |  0.822 |    -0.000 |
    |  40 |    40 |      64.0 |        0.0 |  0.600 |    -0.000 |
    |  41 |    41 |      66.0 |        0.0 |  0.438 |     0.000 |
    |  42 |    42 |      68.0 |        0.0 |  0.320 |     0.000 |
    |  43 |    43 |      70.0 |        0.0 |  0.234 |    -0.000 |
    |  44 |    44 |      72.0 |        0.0 |  0.171 |    -0.000 |
    |  45 |    45 |      74.0 |        0.0 |  0.125 |    -0.000 |
    |  46 |    46 |      76.0 |        0.0 |  0.091 |     0.000 |
    |  47 |    47 |      78.0 |        0.0 |  0.067 |     0.000 |
    |  48 |    48 |      80.0 |        0.0 |  0.049 |    -0.000 |
    |  49 |    49 |      82.0 |        0.0 |  0.036 |     0.000 |
    |  50 |    50 |      84.0 |        0.0 |  0.026 |    -0.000 |
    |  51 |    51 |      86.0 |        0.0 |  0.019 |     0.000 |
    |  52 |    52 |      88.0 |        0.0 |  0.014 |     0.000 |
    |  53 |    53 |      90.0 |        0.0 |  0.011 |     0.000 |
    |  54 |    54 |      92.0 |        0.0 |  0.008 |     0.000 |
    |  55 |    55 |      94.0 |        0.0 |  0.006 |    -0.000 |
    |  56 |    56 |      96.0 |        0.0 |  0.005 |     0.000 |
    |  57 |    57 |      98.0 |        0.0 |  0.004 |     0.000 |
    |  58 |    58 |     100.0 |        2.0 |  0.004 |     0.000 |
    |  59 |    59 |     100.0 |        4.0 |  0.003 |    -0.000 |
    |  60 |    60 |     100.0 |        6.0 |  0.002 |     0.000 |
    |  61 |    61 |     100.0 |        8.0 |  0.001 |     0.000 |
    |  62 |    62 |      98.0 |       10.0 |  0.000 |    -0.027 |
    |  63 |    63 |      96.0 |       10.0 |  0.000 |    -0.032 |
    |  64 |    64 |      94.0 |       10.0 |  0.000 |    -0.039 |
    |  65 |    65 |      92.0 |       10.0 |  0.000 |    -0.050 |
    |  66 |    66 |      90.0 |       10.0 |  0.000 |    -0.065 |
