
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +---------------+---------+
    | Parameter     |   Value |
    |---------------+---------|
    | w [m]         |     100 |
    | h [m]         |      10 |
    | d [m]         |       5 |
    | t [m]         |     0.5 |
    | thickness [m] |       1 |
    | kx [m/day]    |      20 |
    | ky [m/day]    |      20 |
    +---------------+---------+

    Model boundary conditions:

    +----------+--------------------+
    |   Marker |   Piezometric head |
    |----------+--------------------|
    |       10 |                 10 |
    |       20 |                  0 |
    +----------+--------------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+-----+
    | Max element size:   |   2 |
    | Dofs per node:      |   1 |
    | Element type:       |   3 |
    | Number of dofs:     | 422 |
    | Number of elements: | 359 |
    | Number of nodes:    | 422 |
    +---------------------+-----+

    Summary of results:

    +------------------------+---------+---------+
    | Max piezometric head:  |  10.000 | [m]     |
    | Min piezometric head:  |   0.000 | [m]     |
    | Max boundary flow:     |  18.314 | [m/day] |
    | Min boundary flow:     | -18.443 | [m/day] |
    | Sum boundary flow:     |  -0.000 | [m/day] |
    | Max resulting gw flow: |  32.534 | [m/day] |
    | Min resulting gw flow: |   0.002 | [m/day] |
    +------------------------+---------+---------+

    Results per node:

    +-----+-------+-----------+------------+--------+-----------+
    |   N |   dof |   x_coord |    y_coord |   P.h. |      q BC |
    |     |       |       [m] |        [m] |    [m] |   [m/day] |
    |-----+-------+-----------+------------+--------+-----------|
    |   1 |     1 |       0.0 |        0.0 |  9.996 |     0.000 |
    |   2 |     2 |     100.0 |        0.0 |  0.004 |     0.000 |
    |   3 |     3 |     100.0 |       10.0 |  0.000 |    -0.012 |
    |   4 |     4 |      50.2 |       10.0 |  0.000 |   -10.920 |
    |   5 |     5 |      50.2 |        5.0 |  4.064 |    -0.000 |
    |   6 |     6 |      49.8 |        5.0 |  5.950 |     0.000 |
    |   7 |     7 |      49.8 |       10.0 | 10.000 |    10.765 |
    |   8 |     8 |       0.0 |       10.0 | 10.000 |     0.012 |
    |   9 |     9 |       2.0 |        0.0 |  9.996 |    -0.000 |
    |  10 |    10 |       4.0 |        0.0 |  9.995 |     0.000 |
    |  11 |    11 |       6.0 |        0.0 |  9.995 |     0.000 |
    |  12 |    12 |       8.0 |        0.0 |  9.992 |     0.000 |
    |  13 |    13 |      10.0 |        0.0 |  9.991 |    -0.000 |
    |  14 |    14 |      12.0 |        0.0 |  9.986 |    -0.000 |
    |  15 |    15 |      14.0 |        0.0 |  9.983 |     0.000 |
    |  16 |    16 |      16.0 |        0.0 |  9.975 |     0.000 |
    |  17 |    17 |      18.0 |        0.0 |  9.968 |     0.000 |
    |  18 |    18 |      20.0 |        0.0 |  9.953 |     0.000 |
    |  19 |    19 |      22.0 |        0.0 |  9.938 |    -0.000 |
    |  20 |    20 |      24.0 |        0.0 |  9.910 |     0.000 |
    |  21 |    21 |      26.0 |        0.0 |  9.885 |     0.000 |
    |  22 |    22 |      28.0 |        0.0 |  9.832 |    -0.000 |
    |  23 |    23 |      30.0 |        0.0 |  9.780 |     0.000 |
    |  24 |    24 |      32.0 |        0.0 |  9.683 |    -0.000 |
    |  25 |    25 |      34.0 |        0.0 |  9.582 |    -0.000 |
    |  26 |    26 |      36.0 |        0.0 |  9.403 |    -0.000 |
    |  27 |    27 |      38.0 |        0.0 |  9.212 |    -0.000 |
    |  28 |    28 |      40.0 |        0.0 |  8.878 |     0.000 |
    |  29 |    29 |      42.0 |        0.0 |  8.504 |     0.000 |
    |  30 |    30 |      44.0 |        0.0 |  7.910 |     0.000 |
    |  31 |    31 |      46.0 |        0.0 |  7.212 |     0.000 |
    |  32 |    32 |      48.0 |        0.0 |  6.153 |    -0.000 |
    |  33 |    33 |      50.0 |        0.0 |  5.030 |    -0.000 |
    |  34 |    34 |      52.0 |        0.0 |  3.817 |    -0.000 |
    |  35 |    35 |      54.0 |        0.0 |  2.827 |    -0.000 |
    |  36 |    36 |      56.0 |        0.0 |  2.072 |    -0.000 |
    |  37 |    37 |      58.0 |        0.0 |  1.504 |     0.000 |
    |  38 |    38 |      60.0 |        0.0 |  1.097 |    -0.000 |
    |  39 |    39 |      62.0 |        0.0 |  0.795 |    -0.000 |
    |  40 |    40 |      64.0 |        0.0 |  0.589 |    -0.000 |
    |  41 |    41 |      66.0 |        0.0 |  0.424 |    -0.000 |
    |  42 |    42 |      68.0 |        0.0 |  0.314 |    -0.000 |
    |  43 |    43 |      70.0 |        0.0 |  0.225 |     0.000 |
    |  44 |    44 |      72.0 |        0.0 |  0.167 |     0.000 |
    |  45 |    45 |      74.0 |        0.0 |  0.119 |     0.000 |
    |  46 |    46 |      76.0 |        0.0 |  0.088 |     0.000 |
    |  47 |    47 |      78.0 |        0.0 |  0.063 |     0.000 |
    |  48 |    48 |      80.0 |        0.0 |  0.047 |     0.000 |
    |  49 |    49 |      82.0 |        0.0 |  0.033 |    -0.000 |
    |  50 |    50 |      84.0 |        0.0 |  0.025 |     0.000 |
    |  51 |    51 |      86.0 |        0.0 |  0.018 |     0.000 |
    |  52 |    52 |      88.0 |        0.0 |  0.013 |    -0.000 |
    |  53 |    53 |      90.0 |        0.0 |  0.010 |     0.000 |
    |  54 |    54 |      92.0 |        0.0 |  0.008 |    -0.000 |
    |  55 |    55 |      94.0 |        0.0 |  0.006 |     0.000 |
    |  56 |    56 |      96.0 |        0.0 |  0.005 |     0.000 |
    |  57 |    57 |      98.0 |        0.0 |  0.004 |    -0.000 |
    |  58 |    58 |     100.0 |        1.7 |  0.004 |     0.000 |
    |  59 |    59 |     100.0 |        3.3 |  0.003 |     0.000 |
    |  60 |    60 |     100.0 |        5.0 |  0.003 |     0.000 |
    |  61 |    61 |     100.0 |        6.7 |  0.002 |     0.000 |
    |  62 |    62 |     100.0 |        8.3 |  0.001 |    -0.000 |
    |  63 |    63 |      98.1 |       10.0 |  0.000 |    -0.024 |
    |  64 |    64 |      96.2 |       10.0 |  0.000 |    -0.028 |
    |  65 |    65 |      94.3 |       10.0 |  0.000 |    -0.033 |
    |  66 |    66 |      92.3 |       10.0 |  0.000 |    -0.044 |
