
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+---------+
    | Parameter   |   Value |
    |-------------+---------|
    | w [m]       |     0.1 |
    | h [m]       |     0.1 |
    | a [m]       |    0.01 |
    | b [m]       |    0.01 |
    | x [m]       |    0.01 |
    | y [m]       |    0.01 |
    | t [m]       |       1 |
    | kx [W/mC]   |     1.7 |
    | ky [W/mC]   |     1.7 |
    +-------------+---------+

    Model boundary conditions:

    +----------+---------------+
    |   Marker |   Temperature |
    |----------+---------------|
    |       10 |            20 |
    |       20 |            20 |
    |       30 |            20 |
    |       40 |            20 |
    |      110 |           120 |
    |      120 |           120 |
    |      130 |           120 |
    |      140 |           120 |
    +----------+---------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    1 |
    | Element type:       |    3 |
    | Number of dofs:     |  357 |
    | Number of elements: |  321 |
    | Number of nodes:    |  357 |
    +---------------------+------+

    Summary of results:

    +--------------------------+-----------+--------+
    | Max Temperature:         |   120.000 | [C]    |
    | Min Temperature:         |    20.000 | [C]    |
    | Max boundary heat power: |   158.823 | [W/m]  |
    | Min boundary heat power: |   -96.880 | [W/m]  |
    | Sum boundary heat power: |     0.000 | [W/m]  |
    | Max resulting heat flux: | 27267.602 | [W/m2] |
    | Min resulting heat flux: |     4.625 | [W/m2] |
    +--------------------------+-----------+--------+

    Results per node:

    +-----+-------+-----------+------------+-------+--------------+
    |   N |   dof |   x_coord |    y_coord |     T |   Heat power |
    |     |       |       [m] |        [m] |   [C] |        [W/m] |
    |-----+-------+-----------+------------+-------+--------------|
    |   1 |     1 |         0 |          0 |    20 |         -0.2 |
    |   2 |     2 |       0.1 |          0 |    20 |       -0.104 |
    |   3 |     3 |       0.1 |        0.1 |    20 |       -0.216 |
    |   4 |     4 |         0 |        0.1 |    20 |        -16.7 |
    |   5 |     5 |      0.01 |       0.08 |   120 |          125 |
    |   6 |     6 |      0.02 |       0.08 |   120 |           79 |
    |   7 |     7 |      0.02 |       0.09 |   120 |          118 |
    |   8 |     8 |      0.01 |       0.09 |   120 |          159 |
    |   9 |     9 |   0.00625 |          0 |    20 |       -0.557 |
    |  10 |    10 |    0.0125 |          0 |    20 |       -0.797 |
    |  11 |    11 |   0.01875 |          0 |    20 |        -1.51 |
    |  12 |    12 |     0.025 |          0 |    20 |         -1.4 |
    |  13 |    13 |   0.03125 |          0 |    20 |        -2.06 |
    |  14 |    14 |    0.0375 |          0 |    20 |        -1.68 |
    |  15 |    15 |   0.04375 |          0 |    20 |        -2.15 |
    |  16 |    16 |      0.05 |          0 |    20 |         -1.6 |
    |  17 |    17 |   0.05625 |          0 |    20 |        -1.86 |
    |  18 |    18 |    0.0625 |          0 |    20 |        -1.36 |
    |  19 |    19 |   0.06875 |          0 |    20 |        -1.41 |
    |  20 |    20 |     0.075 |          0 |    20 |        -0.92 |
    |  21 |    21 |   0.08125 |          0 |    20 |        -0.86 |
    |  22 |    22 |    0.0875 |          0 |    20 |       -0.441 |
    |  23 |    23 |   0.09375 |          0 |    20 |       -0.279 |
    |  24 |    24 |       0.1 |    0.00625 |    20 |        -0.28 |
    |  25 |    25 |       0.1 |     0.0125 |    20 |       -0.475 |
    |  26 |    26 |       0.1 |    0.01875 |    20 |       -0.849 |
    |  27 |    27 |       0.1 |      0.025 |    20 |       -0.967 |
    |  28 |    28 |       0.1 |    0.03125 |    20 |        -1.37 |
    |  29 |    29 |       0.1 |     0.0375 |    20 |        -1.35 |
    |  30 |    30 |       0.1 |    0.04375 |    20 |        -1.83 |
    |  31 |    31 |       0.1 |       0.05 |    20 |         -1.7 |
    |  32 |    32 |       0.1 |    0.05625 |    20 |        -2.02 |
    |  33 |    33 |       0.1 |     0.0625 |    20 |        -1.79 |
    |  34 |    34 |       0.1 |    0.06875 |    20 |         -1.9 |
    |  35 |    35 |       0.1 |      0.075 |    20 |        -1.52 |
    |  36 |    36 |       0.1 |    0.08125 |    20 |        -1.39 |
    |  37 |    37 |       0.1 |     0.0875 |    20 |       -0.877 |
    |  38 |    38 |       0.1 |    0.09375 |    20 |       -0.504 |
    |  39 |    39 |   0.09375 |        0.1 |    20 |        -0.55 |
    |  40 |    40 |    0.0875 |        0.1 |    20 |       -0.977 |
    |  41 |    41 |   0.08125 |        0.1 |    20 |        -1.83 |
    |  42 |    42 |     0.075 |        0.1 |    20 |        -2.33 |
    |  43 |    43 |   0.06875 |        0.1 |    20 |           -4 |
    |  44 |    44 |    0.0625 |        0.1 |    20 |        -4.59 |
    |  45 |    45 |   0.05625 |        0.1 |    20 |        -8.27 |
    |  46 |    46 |      0.05 |        0.1 |    20 |        -9.27 |
    |  47 |    47 |   0.04375 |        0.1 |    20 |        -16.9 |
    |  48 |    48 |    0.0375 |        0.1 |    20 |        -22.8 |
    |  49 |    49 |   0.03125 |        0.1 |    20 |        -46.1 |
    |  50 |    50 |     0.025 |        0.1 |    20 |        -59.7 |
    |  51 |    51 |   0.01875 |        0.1 |    20 |        -91.9 |
    |  52 |    52 |    0.0125 |        0.1 |    20 |        -72.1 |
    |  53 |    53 |   0.00625 |        0.1 |    20 |        -57.5 |
    |  54 |    54 |         0 |    0.09375 |    20 |        -58.1 |
    |  55 |    55 |         0 |     0.0875 |    20 |        -72.1 |
    |  56 |    56 |         0 |    0.08125 |    20 |        -96.9 |
    |  57 |    57 |         0 |      0.075 |    20 |        -56.9 |
    |  58 |    58 |         0 |    0.06875 |    20 |        -45.4 |
    |  59 |    59 |         0 |     0.0625 |    20 |        -21.5 |
    |  60 |    60 |         0 |    0.05625 |    20 |        -17.7 |
    |  61 |    61 |         0 |       0.05 |    20 |        -9.89 |
    |  62 |    62 |         0 |    0.04375 |    20 |         -8.2 |
    |  63 |    63 |         0 |     0.0375 |    20 |         -4.7 |
    |  64 |    64 |         0 |    0.03125 |    20 |        -4.06 |
    |  65 |    65 |         0 |      0.025 |    20 |        -2.29 |
    |  66 |    66 |         0 |    0.01875 |    20 |        -1.95 |
    |  67 |    67 |         0 |     0.0125 |    20 |       -0.937 |
    |  68 |    68 |         0 |    0.00625 |    20 |       -0.589 |
    |  69 |    69 |     0.015 |       0.08 |   120 |         75.8 |
    |  70 |    70 |      0.02 |      0.085 |   120 |         79.3 |
    |  71 |    71 |     0.015 |       0.09 |   120 |          110 |
    |  72 |    72 |      0.01 |      0.085 |   120 |          109 |
    |  73 |    73 |   0.05453 |   0.006886 |    21 |            0 |
    |  74 |    74 |   0.09492 |    0.05023 |    21 |            0 |
    |  75 |    75 |  0.005724 |    0.04952 |  25.9 |     1.42e-14 |
    |  76 |    76 |   0.05431 |    0.09325 |  24.4 |     7.11e-15 |
    |  77 |    77 |   0.03548 |   0.005464 |  21.1 |     1.78e-15 |
    |  78 |    78 |   0.09471 |    0.03643 |  20.8 |    -7.11e-15 |
    |  79 |    79 |    0.0945 |    0.06878 |  20.9 |     2.13e-14 |
    |  80 |    80 |  0.005631 |    0.03063 |  21.6 |    -7.11e-15 |
    |  81 |    81 |   0.07429 |   0.005759 |  20.6 |            0 |
    |  82 |    82 |   0.07126 |    0.09426 |  21.5 |    -7.11e-15 |
    |  83 |    83 |   0.02445 |    0.08402 |  97.1 |    -2.84e-14 |
    |  84 |    84 |   0.02435 |    0.07837 |    79 |            0 |
    |  85 |    85 |   0.02906 |    0.08364 |  64.6 |     2.84e-14 |
    |  86 |    86 |   0.02918 |    0.07783 |  71.3 |    -2.13e-14 |
    |  87 |    87 |    0.0339 |    0.07838 |  52.6 |    -2.13e-14 |
    |  88 |    88 |   0.03495 |    0.07354 |  55.6 |     4.97e-14 |
    |  89 |    89 |   0.03812 |    0.07526 |  45.5 |     1.42e-14 |
    |  90 |    90 |   0.03654 |    0.06923 |  45.6 |    -1.42e-14 |
    |  91 |    91 |   0.04151 |    0.07301 |  45.6 |            0 |
    |  92 |    92 |   0.04251 |    0.06642 |  39.1 |     2.84e-14 |
    |  93 |    93 |   0.04784 |    0.06818 |  38.7 |     2.84e-14 |
    |  94 |    94 |   0.04801 |    0.06216 |  34.5 |    -2.84e-14 |
    |  95 |    95 |   0.04281 |    0.06039 |  39.7 |     5.68e-14 |
    |  96 |    96 |   0.04809 |    0.05629 |  35.3 |    -1.42e-14 |
    |  97 |    97 |   0.04291 |    0.05446 |    34 |     2.84e-14 |
    |  98 |    98 |   0.04822 |    0.05055 |    31 |            0 |
    |  99 |    99 |   0.04312 |     0.0486 |  34.1 |            0 |
    | 100 |   100 |   0.04877 |     0.0453 |  31.3 |     1.42e-14 |
    | 101 |   101 |   0.05324 |    0.05697 |    31 |     1.42e-14 |
    | 102 |   102 |   0.04382 |    0.04296 |  29.4 |     1.42e-14 |
    | 103 |   103 |   0.05036 |    0.04097 |  27.8 |     1.42e-14 |
    | 104 |   104 |   0.05337 |    0.04283 |  29.5 |     7.51e-15 |
    | 105 |   105 |   0.02978 |    0.07087 |  54.6 |     2.84e-14 |
    | 106 |   106 |   0.05338 |    0.03742 |    28 |    -3.55e-15 |
    | 107 |   107 |   0.05633 |     0.0411 |  26.9 |     1.42e-14 |
    | 108 |   108 |   0.04572 |    0.03798 |  29.4 |            0 |
    | 109 |   109 |   0.03837 |    0.04026 |  31.2 |    -1.42e-14 |
    | 110 |   110 |   0.05762 |    0.03399 |  25.3 |     2.13e-14 |
    | 111 |   111 |   0.06075 |    0.03838 |  26.8 |    -1.42e-14 |
    | 112 |   112 |    0.0625 |    0.04351 |  26.1 |    -5.68e-14 |
    | 113 |   113 |   0.03967 |    0.03345 |  26.7 |     2.84e-14 |
    | 114 |   114 |   0.03283 |    0.03815 |  28.4 |    -4.26e-14 |
    | 115 |   115 |   0.03293 |    0.03184 |    28 |     2.35e-14 |
    | 116 |   116 |  0.005323 |    0.06132 |    32 |     2.82e-15 |
    | 117 |   117 |   0.06277 |     0.0294 |  24.8 |     1.42e-14 |
    | 118 |   118 |   0.02364 |   0.005601 |    21 |            0 |
    | 119 |   119 |   0.09429 |    0.02279 |  20.6 |            0 |
    | 120 |   120 |   0.06772 |    0.04124 |  25.9 |    -1.42e-14 |
    | 121 |   121 |   0.06842 |    0.04728 |  25.4 |            0 |
    | 122 |   122 |   0.03261 |    0.04461 |  33.9 |     1.42e-14 |
    | 123 |   123 |   0.04493 |       0.03 |    27 |     3.55e-14 |
    | 124 |   124 |   0.09454 |    0.08182 |  20.6 |            0 |
    | 125 |   125 |   0.02735 |    0.04359 |  30.5 |    -7.11e-15 |
    | 126 |   126 |   0.02735 |     0.0504 |    38 |    -4.26e-14 |
    | 127 |   127 |   0.05803 |    0.02717 |  24.1 |     2.84e-14 |
    | 128 |   128 |   0.07369 |    0.04631 |  25.1 |     7.11e-15 |
    | 129 |   129 |   0.07385 |    0.05248 |  24.7 |     1.42e-14 |
    | 130 |   130 |   0.07328 |    0.04005 |  23.8 |     1.42e-14 |
    | 131 |   131 |   0.03826 |     0.0791 |    50 |    -5.68e-14 |
    | 132 |   132 |   0.04772 |    0.07419 |    36 |    -1.42e-14 |
    | 133 |   133 |   0.05317 |     0.0687 |  32.6 |     1.42e-14 |
    | 134 |   134 |   0.06325 |    0.02286 |    23 |     2.84e-14 |
    | 135 |   135 |   0.01226 |     0.0758 |  94.3 |    -2.84e-14 |
    | 136 |   136 |  0.005536 |    0.01814 |  20.7 |            0 |
    | 137 |   137 |   0.08528 |   0.007386 |  20.5 |    -2.84e-14 |
    | 138 |   138 |   0.06868 |    0.05343 |  27.1 |    -1.42e-14 |
    | 139 |   139 |   0.07391 |    0.05848 |  25.8 |     7.11e-15 |
    | 140 |   140 |   0.06883 |    0.05942 |  26.3 |            0 |
    | 141 |   141 |   0.07399 |    0.06408 |    25 |            0 |
    | 142 |   142 |   0.06914 |    0.06525 |  27.4 |     2.13e-14 |
    | 143 |   143 |    0.0742 |    0.06811 |  25.7 |    -7.11e-15 |
    | 144 |   144 |   0.07045 |    0.07146 |  25.6 |     2.84e-14 |
    | 145 |   145 |   0.07567 |    0.07436 |  24.8 |     1.42e-14 |
    | 146 |   146 |   0.06935 |    0.07658 |  26.4 |    -2.13e-14 |
    | 147 |   147 |   0.03766 |    0.05855 |  38.2 |    -4.26e-14 |
    | 148 |   148 |   0.05314 |    0.07463 |  34.5 |     1.42e-14 |
    | 149 |   149 |   0.07865 |    0.06455 |  24.6 |    -3.55e-14 |
    | 150 |   150 |   0.07903 |    0.04668 |  23.4 |    -7.11e-15 |
    | 151 |   151 |   0.02215 |    0.04321 |  32.1 |    -3.55e-14 |
    | 152 |   152 |   0.02218 |    0.05015 |  33.7 |    -2.13e-14 |
    | 153 |   153 |   0.02208 |    0.03648 |  26.8 |    -1.42e-14 |
    | 154 |   154 |   0.05803 |    0.02283 |  24.1 |            0 |
    | 155 |   155 |   0.07297 |    0.07888 |  24.3 |     1.07e-14 |
    | 156 |   156 |   0.08267 |    0.09445 |  20.7 |     7.11e-15 |
    | 157 |   157 |   0.08039 |    0.07689 |    23 |     1.17e-14 |
    | 158 |   158 |   0.06308 |    0.01711 |  22.7 |            0 |
    | 159 |   159 |   0.06868 |    0.02326 |  23.2 |     1.42e-14 |
    | 160 |   160 |   0.04121 |    0.09431 |  28.5 |            0 |
    | 161 |   161 |   0.07016 |    0.08319 |  24.9 |     2.84e-14 |
    | 162 |   162 |   0.01686 |    0.04306 |  28.1 |     1.42e-14 |
    | 163 |   163 |   0.01676 |    0.03642 |  27.3 |    -7.11e-15 |
    | 164 |   164 |   0.07782 |    0.08273 |  23.3 |            0 |
    | 165 |   165 |   0.02196 |    0.05708 |  44.1 |     5.68e-14 |
    | 166 |   166 |   0.01683 |     0.0498 |  34.6 |    -2.84e-14 |
    | 167 |   167 |   0.01646 |    0.05635 |  37.2 |            0 |
    | 168 |   168 |   0.06353 |    0.05509 |  27.4 |    -4.26e-14 |
    | 169 |   169 |   0.02202 |    0.03003 |  26.3 |    -2.49e-14 |
    | 170 |   170 |   0.01665 |    0.03002 |    24 |            0 |
    | 171 |   171 |   0.02199 |    0.02369 |  23.4 |     1.42e-14 |
    | 172 |   172 |   0.01657 |    0.02374 |  23.7 |    -2.84e-14 |
    | 173 |   173 |   0.02214 |    0.01746 |  23.1 |     1.42e-14 |
    | 174 |   174 |   0.01663 |    0.01754 |  21.9 |    -4.26e-14 |
    | 175 |   175 |   0.02738 |    0.02408 |  25.2 |    -4.62e-14 |
    | 176 |   176 |    0.0528 |     0.0228 |  23.7 |    -7.11e-15 |
    | 177 |   177 |   0.05299 |    0.01727 |  23.4 |    -3.55e-14 |
    | 178 |   178 |   0.04664 |    0.02257 |  24.9 |    -2.13e-14 |
    | 179 |   179 |   0.04827 |    0.01673 |  22.7 |     1.42e-14 |
    | 180 |   180 |    0.0429 |    0.01975 |  23.4 |     7.11e-15 |
