
-------------------------------------------------------------
-------------- Model input ----------------------------------
-------------------------------------------------------------

Model parameters:

+-------------+----------+
| Parameter   |    Value |
|-------------+----------|
| w [m]       |      0.3 |
| h [m]       |      0.1 |
| a [m]       |     0.05 |
| b [m]       |    0.025 |
| E [Pa]      | 2.08e+11 |
| v [-]       |      0.5 |
| t [-]       |     0.01 |
+-------------+----------+

Model boundary conditions:

+----------+----------------+
|   Marker |   Displacement |
|----------+----------------|
|       80 |              0 |
+----------+----------------+

Loads:

+----------+-----------+------------+
|   Marker |   qx[N/m] |   qy [N/m] |
|----------+-----------+------------|
|       50 |     1e+05 |          0 |
+----------+-----------+------------+

-------------------------------------------------------------
-------------- Results --------------------------------------
-------------------------------------------------------------

Model info:

+---------------------+------+
| Max element size:   | 0.05 |
| Dofs per node:      |    2 |
| Element type:       |    2 |
| Number of dofs:     |  406 |
| Number of elements: |  342 |
| Number of nodes:    |  203 |
+---------------------+------+

Summary of results:

+----------------------+-----------+------+
| Max displacement:    |  1.23e-05 | [m]  |
| Min displacement:    | -9.97e-07 | [m]  |
| Max reaction force:  |       528 | [N]  |
| Min reaction force:  | -1.36e+03 | [N]  |
| Sum reaction forces: |    -1e+04 | [N]  |
| Max vonMises:        |  1.86e+07 | [Pa] |
| Min vonMises:        |  6.01e+05 | [Pa] |
+----------------------+-----------+------+

Results per node:

+-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
|   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
|     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
|-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
|   1 |     1 |     2 |         0 |          0 |        0 |         0 |     -1.05 |    -0.523 |
|   2 |     3 |     4 |     0.125 |          0 |  0.00268 |  0.000406 |  3.41e-16 | -1.71e-16 |
|   3 |     5 |     6 |     0.125 |      0.025 |   0.0042 |  0.000406 |  1.25e-15 | -1.82e-15 |
|   4 |     7 |     8 |     0.175 |      0.025 |  0.00794 |  0.000423 |  1.11e-14 | -1.14e-15 |
|   5 |     9 | 1e+01 |     0.175 |          0 |  0.00955 |   0.00038 | -2.73e-15 | -2.96e-15 |
|   6 | 1e+01 | 1e+01 |       0.3 |          0 |   0.0123 |  0.000921 | -3.41e-15 |  4.55e-16 |
|   7 | 1e+01 | 1e+01 |       0.3 |        0.1 |   0.0122 | -0.000694 | -2.27e-15 | -2.44e-15 |
|   8 | 2e+01 | 2e+01 |     0.175 |        0.1 |  0.00945 | -0.000371 | -1.79e-15 |  1.76e-15 |
|   9 | 2e+01 | 2e+01 |     0.175 |      0.075 |  0.00791 | -0.000364 | -3.87e-15 | -4.09e-15 |
|  10 | 2e+01 | 2e+01 |     0.125 |      0.075 |  0.00421 | -0.000392 | -3.64e-15 |         0 |
|  11 | 2e+01 | 2e+01 |     0.125 |        0.1 |  0.00268 | -0.000384 |  3.41e-16 | -2.56e-16 |
|  12 | 2e+01 | 2e+01 |         0 |        0.1 |        0 |         0 |     -1.06 |     0.528 |
|  13 | 2e+01 | 3e+01 |   0.01563 |          0 | 0.000567 |  0.000523 |  3.41e-16 |  4.55e-16 |
|  14 | 3e+01 | 3e+01 |   0.03125 |          0 |  0.00102 |  0.000722 | -1.11e-15 | -4.55e-16 |
|  15 | 3e+01 | 3e+01 |   0.04688 |          0 |  0.00146 |  0.000828 |  8.24e-16 |  6.82e-16 |
|  16 | 3e+01 | 3e+01 |    0.0625 |          0 |  0.00189 |  0.000912 |         0 |  1.14e-15 |
