
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +-------------+----------+
    | Parameter   |    Value |
    |-------------+----------|
    | w [m]       |      0.3 |
    | h [m]       |      0.1 |
    | a [m]       |     0.05 |
    | b [m]       |    0.025 |
    | E [Pa]      | 2.08e+11 |
    | v [-]       |      0.3 |
    | t [-]       |     0.01 |
    +-------------+----------+

    Model boundary conditions:

    +----------+----------------+
    |   Marker |   Displacement |
    |----------+----------------|
    |       80 |              0 |
    +----------+----------------+

    Loads:

    +----------+-----------+------------+
    |   Marker |   qx[N/m] |   qy [N/m] |
    |----------+-----------+------------|
    |       50 |     1e+05 |          0 |
    +----------+-----------+------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+------+
    | Max element size:   | 0.05 |
    | Dofs per node:      |    2 |
    | Element type:       |    3 |
    | Number of dofs:     |  410 |
    | Number of elements: |  172 |
    | Number of nodes:    |  205 |
    +---------------------+------+

    Summary of results:

    +----------------------+-----------+------+
    | Max displacement:    |  1.87e-05 | [m]  |
    | Min displacement:    | -1.02e-06 | [m]  |
    | Max reaction force:  |       293 | [N]  |
    | Min reaction force:  | -1.24e+03 | [N]  |
    | Sum reaction forces: |    -1e+04 | [N]  |
    | Max vonMises:        |  2.45e+07 | [Pa] |
    | Min vonMises:        |  3.99e+05 | [Pa] |
    +----------------------+-----------+------+

    Results per node:

    +-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------+
    |   N |   dof |   dof |   x_coord |    y_coord |      a_x |       a_y |       R_x |       R_y |
    |     |     x |     y |       [m] |        [m] |     [mm] |      [mm] |      [kN] |      [kN] |
    |-----+-------+-------+-----------+------------+----------+-----------+-----------+-----------|
    |   1 |     1 |     2 |         0 |          0 |        0 |         0 |    -0.845 |    -0.294 |
    |   2 |     3 |     4 |     0.125 |          0 |  0.00407 | -8.36e-06 |  1.14e-16 | -5.68e-17 |
    |   3 |     5 |     6 |     0.125 |      0.025 |  0.00641 |  0.000171 |  4.97e-15 | -7.11e-16 |
    |   4 |     7 |     8 |     0.175 |      0.025 |   0.0121 |   0.00011 |  -4.8e-15 |  1.53e-15 |
    |   5 |     9 | 1e+01 |     0.175 |          0 |   0.0146 | -8.16e-05 |  -2.9e-15 | -1.25e-15 |
    |   6 | 1e+01 | 1e+01 |       0.3 |          0 |   0.0187 |  0.000662 | -9.09e-16 | -3.13e-16 |
    |   7 | 1e+01 | 1e+01 |       0.3 |        0.1 |   0.0187 | -0.000783 | -4.09e-15 |  1.14e-16 |
    |   8 | 2e+01 | 2e+01 |     0.175 |        0.1 |   0.0146 |  2.75e-06 |  2.73e-15 |         0 |
    |   9 | 2e+01 | 2e+01 |     0.175 |      0.075 |   0.0122 | -0.000193 | -7.73e-15 | -6.82e-16 |
    |  10 | 2e+01 | 2e+01 |     0.125 |      0.075 |  0.00641 | -0.000121 | -2.84e-16 | -7.67e-16 |
    |  11 | 2e+01 | 2e+01 |     0.125 |        0.1 |  0.00403 |  1.77e-05 |  1.71e-16 |  1.71e-16 |
    |  12 | 2e+01 | 2e+01 |         0 |        0.1 |        0 |         0 |    -0.845 |     0.293 |
    |  13 | 2e+01 | 3e+01 |   0.01563 |          0 | 0.000862 |  0.000472 | -2.84e-16 |  5.68e-17 |
    |  14 | 3e+01 | 3e+01 |   0.03125 |          0 |  0.00158 |  0.000665 | -4.55e-16 |  1.14e-16 |
